Country;Bin Year;RRInc_min;Rrinc_max;Pop;Rrinc_diff;Rrinc_diff_p;Pop_diff_p
Greece;1988;2634;23636;10;21002;1;1
Greece;1993;2903;24721;10;21818;1.038853443;1
Greece;1998;2055;21710;11;19655;0.900861674;1.1
Greece;2003;2361;24898;11;22537;1.146629356;1
Greece;2008;2645;24353;11;21708;0.963216045;1
Honduras;1988;119;5501;5;5382;1;1
Honduras;1993;177;6293;5;6116;1.136380528;1
Honduras;1998;90;7584;6;7494;1.225310661;1.2
Honduras;2003;116;8252;7;8136;1.085668535;1.166666667
Honduras;2008;63;11948;7;11885;1.460791544;1
Hungary;1988;1243;5806;11;4563;1;1
Hungary;1993;1711;10095;10;8384;1.837387684;0.909090909
Hungary;1998;1581;8583;10;7002;0.835162214;1
Hungary;2003;1635;13364;10;11729;1.675092831;1
Hungary;2008;1761;10733;10;8972;0.764941598;1
India;1988;413;3092;838;2679;1;1
India;1993;449;3117;928;2668;0.99589399;1.107398568
India;1998;459;3551;1018;3092;1.15892054;1.096982759
India;2003;480;3846;1106;3366;1.088615783;1.086444008
India;2008;533;4492;1191;3959;1.1761735;1.076853526
Indonesia;1988;345;2243;178;1898;1;1
Indonesia;1993;429;2831;194;2402;1.265542677;1.08988764
Indonesia;1998;464;3081;208;2617;1.089508743;1.072164948
Indonesia;2003;597;3866;222;3269;1.249140237;1.067307692
Indonesia;2008;614;4720;235;4106;1.256041603;1.058558559
Ireland;1988;1189;15603;4;14414;1;1
Ireland;1993;1585;14896;4;13311;0.923477175;1
Ireland;1998;2453;34684;4;32231;2.421380813;1
Ireland;2003;4310;34773;4;30463;0.945145977;1
Ireland;2008;4741;33293;4;28552;0.937268161;1
Israel;1988;1614;16920;4;15306;1;1
Israel;1993;2090;20172;5;18082;1.181366784;1.25
Israel;1998;1892;22038;6;20146;1.114146665;1.2
Israel;2003;1901;25515;7;23614;1.172143354;1.166666667
Israel;2008;1441;26789;7;25348;1.073431015;1
Italy;1988;2279;19681;57;17402;1;1
Italy;1993;2782;22336;57;19554;1.123663947;1
Italy;1998;2188;31625;57;29437;1.505420886;1
Italy;2003;2423;31366;58;28943;0.983218399;1.01754386
Italy;2008;3361;28984;60;25623;0.88529178;1.034482759
Japan;1988;5929;26920;123;20991;1;1
Japan;1993;6670;31327;125;24657;1.174646277;1.016260163
Japan;1998;6823;31329;126;24506;0.993875978;1.008
Japan;2003;6986;36127;128;29141;1.189137354;1.015873016
Japan;2008;3192;29508;128;26316;0.903057548;1
Jordan;1988;835;7473;3;6638;1;1
Jordan;1993;531;7312;4;6781;1.021542633;1.333333333
Jordan;1998;595;5427;5;4832;0.712579266;1.25
Jordan;2003;605;6484;5;5879;1.216680464;1
Jordan;2008;848;6560;6;5712;0.971593808;1.2
Korea, Rep.;1988;1977;19432;42;17455;1;1
Korea, Rep.;1993;2699;23799;44;21100;1.208822687;1.047619048
Korea, Rep.;1998;2701;21013;46;18312;0.867867299;1.045454545
Korea, Rep.;2003;2344;28153;48;25809;1.40940367;1.043478261
Korea, Rep.;2008;2433;32295;49;29862;1.157038242;1.020833333
Latvia;1988;3265;13712;3;10447;1;1
Latvia;1993;1001;5196;3;4195;0.401550684;1
Latvia;1998;717;7022;2;6305;1.502979738;0.666666667
Latvia;2003;1003;10479;2;9476;1.502934179;1
Latvia;2008;1364;15669;2;14305;1.509603208;1
Malaysia;1988;557;10335;17;9778;1;1
Malaysia;1993;574;11242;20;10668;1.091020659;1.176470588
Malaysia;1998;685;15130;22;14445;1.354049494;1.1
Malaysia;2003;655;7054;25;6399;0.442990654;1.136363636
Malaysia;2008;854;16622;28;15768;2.464135021;1.12
Mauritania;1988;104;2339;2;2235;1;1
Mauritania;1993;174;3613;2;3439;1.538702461;1
Mauritania;1998;269;3133;2;2864;0.832800233;1
Mauritania;2003;245;3202;3;2957;1.032472067;1.5
Mauritania;2008;246;3201;3;2955;0.999323639;1
Mexico;1988;439;4621;81;4182;1;1
Mexico;1993;389;15205;89;14816;3.542802487;1.098765432
Mexico;1998;184;11601;97;11417;0.770585853;1.08988764
Mexico;2003;430;14089;104;13659;1.196373829;1.072164948
Mexico;2008;448;14636;111;14188;1.038729043;1.067307692
Netherlands;1988;2652;22806;15;20154;1;1
Netherlands;1993;3417;31831;15;28414;1.4098442;1
Netherlands;1998;3035;29405;16;26370;0.928063631;1.066666667
Netherlands;2003;5560;33918;16;28358;1.075388699;1
Netherlands;2008;5688;37224;16;31536;1.112067142;1
Nigeria;1988;136;1564;93;1428;1;1
Nigeria;1993;68;1519;105;1451;1.016106443;1.129032258
Nigeria;1998;89;1752;118;1663;1.146106134;1.123809524
Nigeria;2003;97;1576;133;1479;0.889356584;1.127118644
Nigeria;2008;84;1830;151;1746;1.180527383;1.135338346
Pakistan;1988;165;1258;105;1093;1;1
Pakistan;1993;329;1895;121;1566;1.432753888;1.152380952
Pakistan;1998;279;2099;138;1820;1.162196679;1.140495868
Pakistan;2003;324;2108;153;1784;0.98021978;1.108695652
Pakistan;2008;344;2056;167;1712;0.959641256;1.091503268
Paraguay;1988;764;10604;4;9840;1;1
Paraguay;1993;246;15722;5;15476;1.572764228;1.25
Paraguay;1998;185;13306;5;13121;0.847828896;1
Paraguay;2003;258;13131;6;12873;0.981099002;1.2
Paraguay;2008;402;13110;6;12708;0.987182475;1
Philippines;1988;255;2884;59;2629;1;1
Philippines;1993;256;3364;66;3108;1.182198555;1.118644068
Philippines;1998;287;4606;74;4319;1.38963964;1.121212121
Philippines;2003;281;4177;82;3896;0.902060662;1.108108108
Philippines;2008;322;4182;90;3860;0.990759754;1.097560976
Poland;1988;1684;8668;38;6984;1;1
Poland;1993;470;5633;38;5163;0.739261168;1
Poland;1998;839;9817;39;8978;1.738911486;1.026315789
Poland;2003;675;11121;38;10446;1.163510804;0.974358974
